datetime	tstart	tfinish	type	group	site	treatment	block	temp.C	pres.kPA	PAR	NEE	Rsqd
12.08.2016 11:39	10	120	photo	inge	elev3850	tt2	2	23,94	62,75	1827,03	-14,04	0,98
12.08.2016 08:50	10	140	resp	inge	elev3850	otc	7	20,61	62,81	2,48	-7,74	0,99
12.08.2016 11:28	10	100	resp	inge	elev3850	c	2	22,88	62,78	1,82	-10,01	0,99
12.08.2016 11:21	10	120	resp	inge	elev3850	tt2	1	20,78	62,77	3,92	-29,26	0,99
12.08.2016 10:40	10	90	photo	inge	elev3850	otc	1	19,37	62,8	824,33	3,18	0,96
12.08.2016 10:25	10	110	photo	inge	elev3850	otc	5	19,63	62,81	984,73	2,61	0,95
12.08.2016 10:48	20	120	photo	inge	elev3850	tt1	1	19,11	62,79	542,16	-3,62	0,91
12.08.2016 10:11	10	110	photo	inge	elev3850	tt2	5	21,76	62,83	1275,19	-5,46	0,98
12.08.2016 09:24	5	65	photo	inge	elev3850	c	6	20,61	62,81	788,10	-3	0,9
12.08.2016 10:43	10	100	resp	inge	elev3850	otc	1	19,06	62,78	3,55	-6,02	0,97
12.08.2016 10:29	10	100	resp	inge	elev3850	otc	5	20,53	62,8	3,98	-7,9	0,98
12.08.2016 10:35	10	140	resp	inge	elev3850	tt0	5	20,98	62,81	4,34	-6,56	0,98
12.08.2016 10:51	10	130	resp	inge	elev3850	tt1	1	18,11	62,73	3,68	-9,48	0,98
12.08.2016 10:22	10	80	resp	inge	elev3850	tt1	5	20,16	62,81	5,66	-8,13	0,96
12.08.2016 10:14	10	170	resp	inge	elev3850	tt2	5	21,08	62,83	5,41	-8,1	0,97
12.08.2016 09:27	10	110	resp	inge	elev3850	c	6	20,61	62,81	5,67	-7,77	0,97
12.08.2016 09:16	30	110	photo	inge	elev3850	otc	6	20,61	62,81	200,67	0,48	0,64
12.08.2016 09:33	10	80	photo	inge	elev3850	tt0	6	20,61	62,81	1017,24	-28,1	0,97
12.08.2016 09:08	10	70	photo	inge	elev3850	tt0	7	20,61	62,81	1091,79	-3,28	0,97
12.08.2016 09:39	10	120	photo	inge	elev3850	tt1	6	20,61	62,81	934,02	-10,64	0,97
